workflow,n_tasks,billing_interval,seed,heft_cost,minmin_cost,bps_cost,cetss_cost,heft_ms,minmin_ms,cetss_ms,heft_nvms,cetss_nvms,cetss_bps_frac,cetss_util,cetss_met_dl,cetss_infeasible
CyberShake,50,3600,0,22.08,22.08,9.10995716030014,6.0,855.3825351584292,855.3825351584292,2418.164693694067,46,47,0.06,0.35268780843229525,1,1127
CyberShake,50,3600,1,22.08,22.08,8.973128824427027,6.0,790.0419877421974,790.0419877421974,2238.0965254671105,46,47,0.06,0.32136512656220156,1,1127
CyberShake,50,3600,2,22.08,22.08,6.4799999999999995,6.0,790.3897338093603,790.3897338093603,2370.9128255664627,46,47,0.06,0.3365923328298827,1,1127
CyberShake,50,3600,3,22.08,22.08,9.463066046322187,9.463066046322187,792.6403148105354,792.6403148105354,2710.227549063825,46,49,0.02,0.31924288335766543,0,1128
CyberShake,50,3600,4,22.08,22.08,7.4541575369155595,6.0,747.2414061540737,747.2414061540737,2164.4581305920665,46,47,0.06,0.3174795082357127,1,1127
CyberShake,50,3600,5,22.08,22.08,17.40446975446503,17.40446975446503,672.8971443916839,672.8971443916839,3169.138408621555,46,47,0.06,0.3430020509794175,0,1031
CyberShake,50,3600,6,22.08,22.08,7.766165257399653,7.286165257399652,769.4296994533756,769.4296994533756,2424.905624100092,46,48,0.04,0.33186747542313727,0,1127
CyberShake,50,3600,7,22.08,22.08,8.24858144061185,6.0,768.2581101145705,768.2581101145705,2219.486055995845,46,47,0.06,0.32484081220100175,1,1127
CyberShake,50,3600,8,22.08,22.08,6.4799999999999995,6.0,747.6867398006827,747.6867398006827,2220.935951853233,46,47,0.06,0.3375365182040582,1,1127
CyberShake,50,3600,9,22.08,22.08,20.12739039230997,20.12739039230997,722.330357646234,722.330357646234,3555.730112169699,46,49,0.02,0.31239542545840154,0,1128
CyberShake,50,300,0,36.48,37.44,30.599957160300143,27.599999999999998,855.3825351584292,855.3825351584292,2418.164693694067,46,47,0.02,0.8826536000307511,1,1127
CyberShake,50,300,1,33.12,34.08,27.943128824427028,25.2,790.0419877421974,790.0419877421974,2238.0965254671105,46,47,0.02,0.8820474847480656,1,1127
CyberShake,50,300,2,34.56,35.519999999999996,26.279999999999998,26.279999999999998,790.3897338093603,790.3897338093603,2370.9128255664627,46,47,0.02,0.8789124217728048,1,1127
CyberShake,50,300,3,33.12,34.56,28.913066046322186,28.913066046322186,792.6403148105354,792.6403148105354,2710.227549063825,46,49,0.0,0.8784108239941787,0,1128
CyberShake,50,300,4,32.16,33.6,25.934157536915556,24.48,747.2414061540737,747.2414061540737,2164.4581305920665,46,47,0.04,0.8940892249237831,1,1127
CyberShake,50,300,5,35.04,36.0,37.364469754465034,37.364469754465034,672.8971443916839,672.8971443916839,3169.138408621555,46,47,0.0,0.9217339017828002,0,1031
CyberShake,50,300,6,34.56,36.0,28.04616525739965,27.56616525739965,769.4296994533756,769.4296994533756,2424.905624100092,46,48,0.02,0.8710598830287895,0,1127
CyberShake,50,300,7,32.64,34.08,27.20858144061185,24.96,768.2581101145705,768.2581101145705,2219.486055995845,46,47,0.04,0.8970450587493893,1,1127
CyberShake,50,300,8,33.6,35.04,25.919999999999998,25.439999999999998,747.6867398006827,747.6867398006827,2220.935951853233,46,47,0.04,0.913699657196868,1,1127
CyberShake,50,300,9,32.16,33.6,39.08739039230997,39.08739039230997,722.330357646234,722.330357646234,3555.730112169699,46,49,0.0,0.8644932162943466,0,1128
CyberShake,50,60,0,133.44,138.72,128.68995716030014,123.96,855.3825351584292,855.3825351584292,2418.164693694067,46,47,0.0,0.9864182395709761,1,1127
CyberShake,50,60,1,122.39999999999999,127.67999999999999,117.28312882442702,113.03999999999999,790.0419877421974,790.0419877421974,2238.0965254671105,46,47,0.0,0.9854516000372171,1,1127
CyberShake,50,60,2,129.12,133.92,120.0,118.56,790.3897338093603,790.3897338093603,2370.9128255664627,46,47,0.0,0.9792851442489295,1,1127
CyberShake,50,60,3,124.8,130.56,120.45306604632218,120.45306604632218,792.6403148105354,792.6403148105354,2710.227549063825,46,49,0.0,0.9725326697721924,0,1128
CyberShake,50,60,4,121.44,126.72,114.65415753691555,111.96,747.2414061540737,747.2414061540737,2164.4581305920665,46,47,0.02,0.9805983415166659,1,1127
CyberShake,50,60,5,132.48,137.28,131.44446975446502,131.44446975446502,672.8971443916839,672.8971443916839,3169.138408621555,46,47,0.0,1.0037495086708077,0,1031
CyberShake,50,60,6,126.72,132.48,121.40616525739965,119.96616525739965,769.4296994533756,769.4296994533756,2424.905624100092,46,48,0.0,0.9788320265301707,0,1127
CyberShake,50,60,7,121.92,127.19999999999999,117.24858144061184,114.11999999999999,768.2581101145705,768.2581101145705,2219.486055995845,46,47,0.0,0.9837558015931487,1,1127
CyberShake,50,60,8,127.19999999999999,132.48,120.0,118.55999999999999,747.6867398006827,747.6867398006827,2220.935951853233,46,47,0.0,0.9824513693992831,1,1127
CyberShake,50,60,9,120.96,126.24,128.36739039230997,128.36739039230997,722.330357646234,722.330357646234,3555.730112169699,46,49,0.0,0.9625164959488406,0,1128
Epigenomics,50,3600,0,11.04,12.959999999999999,6.35,6.35,1057.7297424393842,1057.7297424393842,1871.5707466429649,23,25,0.5,0.2756855080625873,1,586
Epigenomics,50,3600,1,11.04,12.959999999999999,6.35,6.35,1202.750976212056,1202.750976212056,1942.3343066460018,23,25,0.5,0.255275273274343,1,585
Epigenomics,50,3600,2,11.04,12.48,6.35,6.35,1106.3213925281896,1106.3213925281896,1972.1585229164268,23,25,0.5,0.2654860334144635,1,569
Epigenomics,50,3600,3,11.04,12.48,6.35,6.35,1194.8708897382432,1194.8708897382432,1987.2797501291448,23,25,0.5,0.2612049914650951,1,594
Epigenomics,50,3600,4,11.04,12.959999999999999,6.35,6.35,1154.8110913186163,1154.8110913186163,1926.4066006831988,23,25,0.5,0.2536887083269532,1,569
Epigenomics,50,3600,5,11.04,12.48,6.35,6.35,1179.187422099602,1179.187422099602,2002.3626026680022,23,25,0.5,0.2743298607156966,1,581
Epigenomics,50,3600,6,11.04,13.44,6.35,6.35,1139.88831033691,1139.88831033691,1959.1621487886187,23,25,0.5,0.27089360136980983,1,584
Epigenomics,50,3600,7,11.04,13.44,6.35,6.35,1224.039502391961,1224.039502391961,1996.1804319269486,23,25,0.5,0.2554871569104127,1,580
Epigenomics,50,3600,8,11.04,12.48,6.35,6.35,1223.4180583464238,1223.4180583464238,2006.8696159730334,23,25,0.5,0.269941791370653,1,569
Epigenomics,50,3600,9,11.04,12.959999999999999,6.35,6.35,1047.0295111748408,1047.0295111748408,1814.4565636078669,23,25,0.5,0.25317524137303016,1,580
Epigenomics,50,300,0,24.48,26.88,21.18,21.18,1057.7297424393842,1057.7297424393842,2241.206555763321,23,25,0.02,0.9631233400510212,1,596
Epigenomics,50,300,1,24.0,26.4,20.18,20.18,1202.750976212056,1202.750976212056,2131.7867756266633,23,25,0.06,0.9382927739115342,1,598
Epigenomics,50,300,2,25.439999999999998,27.36,21.3,21.3,1106.3213925281896,1106.3213925281896,2495.738690622331,23,25,0.02,0.9358070614191637,1,578
Epigenomics,50,300,3,24.0,25.919999999999998,19.93,19.93,1194.8708897382432,1194.8708897382432,2073.1281843147867,23,25,0.04,0.9749611219123877,1,594
Epigenomics,50,300,4,24.48,26.88,20.16,20.16,1154.8110913186163,1154.8110913186163,2255.0841469517713,23,25,0.04,0.9547500689710157,1,589
Epigenomics,50,300,5,25.439999999999998,27.36,20.43,20.43,1179.187422099602,1179.187422099602,2090.626195565499,23,25,0.02,0.9801407487618998,1,598
Epigenomics,50,300,6,23.52,26.4,19.93,19.93,1139.88831033691,1139.88831033691,2118.838925644032,23,25,0.04,1.0021225267873255,1,599
Epigenomics,50,300,7,24.0,26.88,19.18,19.18,1224.039502391961,1224.039502391961,2080.2884679005833,23,25,0.02,0.9762839728086462,1,599
Epigenomics,50,300,8,24.96,26.88,20.3,20.3,1223.4180583464238,1223.4180583464238,2391.331158487539,23,25,0.06,0.9781262665356059,1,583
Epigenomics,50,300,9,24.0,26.4,19.18,19.18,1047.0295111748408,1047.0295111748408,2175.1955032551778,23,25,0.04,0.9628592088572767,1,584
Epigenomics,50,60,0,106.08,112.8,92.86,92.86,1057.7297424393842,1057.7297424393842,2085.86719683088,23,25,0.02,1.0900258683596886,1,606
Epigenomics,50,60,1,99.36,107.03999999999999,84.81,84.81,1202.750976212056,1202.750976212056,2131.7867756266633,23,25,0.02,1.113863119047894,1,594
Epigenomics,50,60,2,101.75999999999999,111.36,91.34,91.34,1106.3213925281896,1106.3213925281896,2315.4546688710207,23,25,0.02,1.0720779876514914,1,577
Epigenomics,50,60,3,100.32,107.52,87.44,87.44,1194.8708897382432,1194.8708897382432,2239.207184370543,23,25,0.02,1.1015385580472747,1,589
Epigenomics,50,60,4,98.88,106.08,86.22,86.22,1154.8110913186163,1154.8110913186163,1926.4066006831988,23,25,0.02,1.0829020414077588,1,583
Epigenomics,50,60,5,104.64,115.19999999999999,98.35,98.35,1179.187422099602,1179.187422099602,2398.2281055215703,23,25,0.02,1.0422456181317283,1,598
Epigenomics,50,60,6,103.2,108.96,92.05,92.05,1139.88831033691,1139.88831033691,2192.649096370129,23,25,0.0,1.077746616558221,1,598
Epigenomics,50,60,7,100.32,106.56,83.94,83.94,1224.039502391961,1224.039502391961,2080.2884679005833,23,25,0.02,1.1066463542043075,1,599
Epigenomics,50,60,8,104.64,111.36,98.56,98.56,1223.4180583464238,1223.4180583464238,2498.46764212534,23,25,0.02,1.0584160890296928,1,584
Epigenomics,50,60,9,97.44,105.6,84.19,84.19,1047.0295111748408,1047.0295111748408,2279.722761176827,23,25,0.0,1.0925849547516528,1,594
LIGO,49,3600,0,11.52,11.52,10.694120077258813,10.334120077258813,1204.9692446707697,1204.9692446707697,4276.319741738191,24,28,0.40425531914893614,0.3965032635488116,0,443
LIGO,49,3600,1,11.52,11.52,10.751422542661567,10.151422542661567,1064.3166537326576,1064.3166537326576,3860.0922154641294,24,26,0.44680851063829785,0.37947369567000255,0,425
LIGO,49,3600,2,11.52,11.52,12.06865809760458,11.45865809760458,953.8387243492788,953.8387243492788,3537.381982808294,24,37,0.2127659574468085,0.27139432665819996,0,480
LIGO,49,3600,3,11.52,11.52,13.378150425850155,8.575044422640017,1073.5078220186658,1073.5078220186658,3741.027908319999,24,27,0.425531914893617,0.3798935961019917,0,413
LIGO,49,3600,4,11.52,11.52,15.082111524202727,14.602111524202728,1136.2111524202726,1136.2111524202726,4544.84460968109,24,27,0.425531914893617,0.37765677813859455,0,445
LIGO,49,3600,5,11.52,11.52,10.138627428209347,9.778627428209347,1127.1454373959261,1127.1454373959261,3939.2990550087134,24,32,0.3191489361702128,0.3223255566705153,0,470
LIGO,49,3600,6,11.52,11.52,10.503329594477076,9.903329594477077,1119.9603261931768,1119.9603261931768,3990.213938027238,24,27,0.425531914893617,0.3837459389752656,0,423
LIGO,49,3600,7,11.52,11.52,9.811483552306996,8.731483552306994,1064.931595528062,1064.931595528062,3707.9431418148856,24,27,0.425531914893617,0.352060602099055,0,419
LIGO,49,3600,8,11.52,11.52,12.949209089433797,11.619209089433799,1012.3748901722917,1012.3748901722917,3814.045579460255,24,31,0.3404255319148936,0.3136494966484161,0,435
LIGO,49,3600,9,11.52,11.52,10.58308079622604,9.86308079622604,1233.0849523922632,1233.0849523922632,4337.562936799393,24,26,0.44680851063829785,0.38946448525010724,0,397
LIGO,49,300,0,23.52,25.919999999999998,24.854120077258813,24.134120077258814,1204.9692446707697,1204.9692446707697,4276.319741738191,24,28,0.02127659574468085,0.9159843745437078,0,443
LIGO,49,300,1,20.64,23.04,22.871422542661566,22.871422542661566,1064.3166537326576,1064.3166537326576,3860.0922154641294,24,26,0.0,0.8490496702257679,0,425
LIGO,49,300,2,20.64,22.08,24.19865809760458,23.70865809760458,953.8387243492788,953.8387243492788,3537.381982808294,24,37,0.02127659574468085,0.8646347364225437,0,480
LIGO,49,300,3,21.119999999999997,23.04,26.108150425850152,25.628150425850155,1073.5078220186658,1073.5078220186658,4137.338508641013,24,28,0.02127659574468085,0.8920180672529475,0,409
LIGO,49,300,4,22.08,23.52,28.16211152420273,27.922111524202727,1136.2111524202726,1136.2111524202726,4544.84460968109,24,27,0.0,0.8757387511955066,0,445
LIGO,49,300,5,22.08,24.0,23.21862742820935,22.498627428209346,1127.1454373959261,1127.1454373959261,3939.2990550087134,24,32,0.02127659574468085,0.8687956778966892,0,470
LIGO,49,300,6,20.64,24.0,23.103329594477078,22.863329594477076,1119.9603261931768,1119.9603261931768,3990.213938027238,24,27,0.0,0.8881808025937887,0,423
LIGO,49,300,7,20.16,20.16,21.571483552306994,20.371483552306994,1064.931595528062,1064.931595528062,3707.9431418148856,24,27,0.02127659574468085,0.8720497036441501,0,419
LIGO,49,300,8,20.64,21.119999999999997,24.709209089433795,23.739209089433796,1012.3748901722917,1012.3748901722917,3814.045579460255,24,32,0.02127659574468085,0.8655525389545744,0,434
LIGO,49,300,9,20.64,22.08,23.06308079622604,22.463080796226038,1233.0849523922632,1233.0849523922632,4337.562936799393,24,26,0.02127659574468085,0.8943398147610233,0,397
LIGO,49,60,0,91.67999999999999,97.44,89.77412007725881,86.89412007725882,1204.9692446707697,1204.9692446707697,4276.319741738191,24,28,0.0,1.004357100549344,0,443
LIGO,49,60,1,81.12,91.67999999999999,79.27142254266155,80.47142254266157,1064.3166537326576,1064.3166537326576,3860.0922154641294,24,26,0.0,0.96328230835883,0,425
LIGO,49,60,2,82.56,87.84,84.06865809760458,82.59865809760458,953.8387243492788,953.8387243492788,3537.381982808294,24,37,0.0,0.9774898320864638,0,480
LIGO,49,60,3,85.44,94.08,83.63815042585016,79.22504442264001,1073.5078220186658,1073.5078220186658,3741.027908319999,24,27,0.0,1.0125296090277975,0,413
LIGO,49,60,4,85.92,90.72,86.60211152420273,87.80211152420273,1136.2111524202726,1136.2111524202726,4544.84460968109,24,27,0.0,0.9601244903243168,0,445
LIGO,49,60,5,86.88,95.03999999999999,84.89862742820934,82.13862742820935,1127.1454373959261,1127.1454373959261,3939.2990550087134,24,32,0.0,0.9766027206370005,0,470
LIGO,49,60,6,84.0,94.08,81.18332959447707,80.94332959447708,1119.9603261931768,1119.9603261931768,3990.213938027238,24,27,0.0,0.9896066381194868,0,423
LIGO,49,60,7,78.24,82.56,76.89148355230698,74.49148355230699,1064.931595528062,1064.931595528062,3707.9431418148856,24,27,0.0,0.9803137073999715,0,419
LIGO,49,60,8,81.12,86.39999999999999,82.0092090894338,79.2092090894338,1012.3748901722917,1012.3748901722917,3814.045579460255,24,31,0.0,0.9957020880386004,0,435
LIGO,49,60,9,84.0,92.64,80.06308079622603,78.26308079622603,1233.0849523922632,1233.0849523922632,4337.562936799393,24,26,0.0,1.020205609295359,0,397
